
0,308
1,1467
2,1492
3,1372
4,1527
5,1650
6,1613
7,1558
8,1321
9,1678
10,1720
11,1607
12,1412
13,1536
14,1478
15,1545
16,1766
17,1648
18,1137
19,1866
20,2157
21,2099
22,2100
23,2144
24,2001
25,2057
26,2134
27,2218
28,2255
29,2024
30,2145
31,2102
32,2104
33,2138
34,2061
35,2206
36,2115
37,2213
38,2160
39,2210
40,2119
41,2106
42,1974
43,2086
44,2113
45,2161
46,2057
47,2325
48,2095
49,2139
50,2298
51,2189
52,2092
53,2185
54,2155
55,2207
56,2264
57,2129
58,2239
59,2183
60,2206
61,2109
62,2176
63,2175
64,2247
65,2163
66,2224
67,2224
68,2140
69,2084
70,2234
71,2158
72,2139
73,2193
74,2175
75,2240
76,1997
77,1975
78,2086
79,2160
80,2232
81,2210
82,2221
83,2166
84,2247
85,2115
86,2174
87,2129
88,2128
89,2170
90,2217
91,2270
92,1876
93,2254
94,2214
95,2253
96,2241
97,2140
98,2259
99,2192
100,2192
101,2152
102,2175
103,2195
104,2215
105,2183
106,2254
107,2166
108,2228
109,2216
110,2097
111,2180
112,2220
113,2210
114,2069
115,2142
116,2161
117,2207
118,2276
119,2180
120,2222
121,2223
122,2177
123,2208
124,2214
125,2196
126,2325
127,2238
128,2279
129,2209
130,1841
131,2237
132,1682
133,1272
134,2312
135,2377
136,2463
137,2378
138,2321
139,2299
140,2380
141,2354
142,2350
143,2336
144,2401
145,2317
146,2388
147,2402
148,2337
149,2336
150,2339
151,2346
152,2394
153,2327
154,2451
155,2415
156,2353
157,2335
158,2385
159,2350
160,2372
161,2358
162,2319
163,2352
164,2350
165,2353
166,2342
167,2352
168,2333
169,345
178,659
179,805
180,2380
181,2551
182,2510
183,2468
184,2499
185,2558
186,2506
187,2526
188,2427
189,2467
190,2472
191,2401
192,2329
193,2284
194,2297
195,2374
196,2366
197,2465
198,2436
199,2381
200,2404
201,2376
202,2389
203,2435
204,2453
205,2447
206,2384
207,2408
208,2364
209,2337
210,2356
211,2457
212,2453
213,2429
214,2305
215,2385
216,2398
217,2351
218,2452
219,2406
220,2407
221,2350
222,2351
223,2306
224,2412
225,2353
226,2500
227,2442
228,2450
229,2464
230,2507
231,2432
232,2547
233,2532
234,2569
235,2452
236,2504
237,2439
238,2549
239,2459
240,2543
241,2477
242,2499
243,2461
244,2381
245,2571
246,2520
247,2488
248,2433
249,2450
250,2480
251,2573
252,2513
253,2561
254,2425
255,2464
256,2430
257,2599
258,2522
259,2531
260,2478
261,2442
262,2373
263,2496
264,2563
265,2574
266,2506
267,2477
268,2467
269,2412
270,2512
271,2555
272,2483
273,2505
274,2454
275,2534
276,2475
277,2530
278,2523
279,2529
280,2460
281,2502
282,2485
283,2513
284,2525
285,2471
286,2434
287,2485
288,2396
289,2522
290,2560
291,2519
292,2524
293,2447
294,2454
295,2466
296,2515
297,2529
298,2526
299,2412
300,2403
301,2491
302,2467
303,2542
304,2531
305,2509
306,2490
307,2459
308,2440
309,2543
310,2488
311,2551
312,2467
313,2429
314,2482
315,2466
316,2533
317,2561
318,2520
319,2460
320,2444
321,2469
322,2546
323,2510
324,2501
325,2421
326,2414
327,2417
328,2529
329,2505
330,2554
331,2361
332,2409
333,2432
334,2480
335,2519
336,2541
337,2462
338,2421
339,2486
340,2455
341,2481
342,2544
343,2502
344,2455
345,2398
346,2490
347,2501
348,2490
349,2522
350,2410
351,2428
352,2509
353,2473
354,2429
355,2497
356,2517
357,2452
358,2451
359,2398
360,2474
361,2536
362,2576
363,2469
364,2444
365,2480
366,2459
367,2408
368,2521
369,2492
370,2568
371,2465
372,2485
373,2477
374,2510
375,2526
376,2564
377,2429
378,2466
379,2499
380,2453
381,2496
382,2586
383,2507
384,2478
385,2451
386,2421
387,2445
388,2568
389,2515
390,2467
391,2445
392,2473
393,2429
394,2429
395,2467
396,2528
397,2449
398,2511
399,2401
400,2425
401,2489
402,2575
403,2489
404,2505
405,2434
406,2467
407,2416
408,2487
409,2489
410,2566
411,2474
412,2495
413,2431
414,2453
415,2473
416,2548
417,2493
418,2499
419,2405
420,2466
421,2487
422,2558
423,2503
424,2500
425,2456
426,2425
427,2401
428,2503
429,2551
430,2494
431,2452
432,2431
433,2441
434,2459
435,2530
436,2571
437,2410
438,2432
439,2455
440,2439
441,2402
442,2438
443,2477
444,2592
445,2440
446,2408
447,2347
448,2406
449,2399
450,2432
451,2432
452,2375
453,2356
454,2357
455,2425
456,2464
457,2500
458,2482
459,2362
460,2365
461,2479
462,2545
463,2251
464,2305
465,2235
466,2001
467,2339
468,2191
469,2044
470,2034
471,2234
472,2280
